,price,type,address,url,agent_url,postcode,full_postcode,number_bedrooms,search_date
0,314995.0,3 bedroom detached house for sale,"Robroyston,
Glasgow City, 
G33 1JR",http://www.rightmove.co.uk/properties/124216652#/?channel=RES_BUY,http://www.rightmove.co.uk/developer/branch/Bellway-Homes-Scotland-West/Ellingwood-249395.html,G33,G33 1JR,3.0,2022-06-29 07:22:53.795003
1,1999995.0,20 bedroom block of apartments for sale,"West Regent Street, City Centre, Glasgow, g2",http://www.rightmove.co.uk/properties/113863475#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/Castle-Residential/Paisley-43025.html,g2,,20.0,2022-06-29 07:22:53.795003
2,1275000.0,6 bedroom detached house for sale,"Silverwells Crescent, Bothwell, Glasgow",http://www.rightmove.co.uk/properties/85450677#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/Residence-Estate-Agents/Uddingston-107209.html,,,6.0,2022-06-29 07:22:53.795003
3,1100000.0,3 bedroom duplex for sale,"12 Claremont Terrace, Park, G3 7XR",http://www.rightmove.co.uk/properties/123509513#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/Corum/West-End-44520.html,G3,G3 7XR,3.0,2022-06-29 07:22:53.795003
4,1100000.0,5 bedroom detached villa for sale,"Beech Road, Lenzie, Glasgow, G66 4HL",http://www.rightmove.co.uk/properties/124387955#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/Town-and-Country-Estate-Agents/Glasgow-71794.html,G66,G66 4HL,5.0,2022-06-29 07:22:53.795003
5,1100000.0,5 bedroom detached villa for sale,"Firlands, Elphinstone Road, Whitecraigs",http://www.rightmove.co.uk/properties/124114418#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/Nicol-Estate-Agents/Newton-Mearns-55395.html,,,5.0,2022-06-29 07:22:53.795003
6,1100000.0,4 bedroom detached house for sale,"Langside Drive, Glasgow, G43",http://www.rightmove.co.uk/properties/124108937#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/Savills/Glasgow-48605.html,G43,,4.0,2022-06-29 07:22:53.795003
7,995000.0,4 bedroom detached villa for sale,"Leebrae, Old Humbie Road, Newton Mearns",http://www.rightmove.co.uk/properties/85463049#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/Nicol-Estate-Agents/Newton-Mearns-55395.html,,,4.0,2022-06-29 07:22:53.795003
8,910000.0,4 bedroom town house for sale,"Plot 10 The Willow, The Glades, Bothwell, Glasgow",http://www.rightmove.co.uk/properties/122306519#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/Residence-Estate-Agents/Uddingston-107209.html,,,4.0,2022-06-29 07:22:53.795003
9,910000.0,4 bedroom town house for sale,"Plot 4 The Willow, The Glades, Bothwell, Glasgow",http://www.rightmove.co.uk/properties/117149420#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/Residence-Estate-Agents/Uddingston-107209.html,,,4.0,2022-06-29 07:22:53.795003
10,900000.0,Land for sale,"Development Opportunity at Boclair Road, Bearsden",http://www.rightmove.co.uk/properties/85543584#/?channel=COM_BUY,http://www.rightmove.co.uk/estate-agents/agent/Corum/Bearsden-44430.html,,,,2022-06-29 07:22:53.795003
11,899000.0,4 bedroom town house for sale,"Plot 6 The Juniper, The Glades, Bothwell, Glasgow",http://www.rightmove.co.uk/properties/117149267#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/Residence-Estate-Agents/Uddingston-107209.html,,,4.0,2022-06-29 07:22:53.795003
12,895000.0,5 bedroom detached house for sale,"Thornton Road, Thorntonhall, Glasgow, G74",http://www.rightmove.co.uk/properties/115699127#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/Savills/Glasgow-48605.html,G74,,5.0,2022-06-29 07:22:53.795003
13,895000.0,5 bedroom character property for sale,"53 Hamilton Avenue, Pollokshields, G41 4HB",http://www.rightmove.co.uk/properties/124111631#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/Corum/Shawlands-44526.html,G41,G41 4HB,5.0,2022-06-29 07:22:53.795003
14,875000.0,3 bedroom duplex for sale,"2/1 28 Park Circus, Park, G3 6AP",http://www.rightmove.co.uk/properties/124435487#/?channel=RES_BUY,http://www.rightmove.co.uk/estate-agents/agent/Corum/West-End-44520.html,G3,G3 6AP,3.0,2022-06-29 07:22:53.795003
